Tanggal,Tavg
01-01-2022,26.1
02-01-2022,24.9
03-01-2022,26.5
04-01-2022,26.8
05-01-2022,27.3
06-01-2022,27.1
07-01-2022,27.6
08-01-2022,27.2
09-01-2022,27.3
10-01-2022,27.1
11-01-2022,26.8
12-01-2022,26.9
13-01-2022,27.2
14-01-2022,26.9
15-01-2022,27.3
16-01-2022,27.2
17-01-2022,27.3
18-01-2022,27.3
19-01-2022,27.1
20-01-2022,27
21-01-2022,26.8
22-01-2022,26.7
23-01-2022,27
24-01-2022,27.3
25-01-2022,27.3
26-01-2022,27.2
27-01-2022,26.9
28-01-2022,27.4
29-01-2022,27.1
30-01-2022,27.3
31-01-2022,27.5
01-02-2022,27
02-02-2022,27.4
03-02-2022,28
04-02-2022,27.8
05-02-2022,27.5
06-02-2022,25.8
07-02-2022,25.7
08-02-2022,26.1
09-02-2022,25.7
10-02-2022,24.5
11-02-2022,25.9
12-02-2022,27.1
13-02-2022,27.1
14-02-2022,27.6
15-02-2022,28.2
16-02-2022,26.5
17-02-2022,27.6
18-02-2022,28.2
19-02-2022,27.8
20-02-2022,27.8
21-02-2022,27.8
22-02-2022,27.6
23-02-2022,27.1
24-02-2022,25.7
25-02-2022,27.6
26-02-2022,25.3
27-02-2022,26.9
28-02-2022,27.5
01-03-2022,26.5
02-03-2022,27.7
03-03-2022,27.9
04-03-2022,27.6
05-03-2022,27.5
06-03-2022,27.1
07-03-2022,27.3
08-03-2022,27.1
09-03-2022,27.9
10-03-2022,26.7
11-03-2022,27.7
12-03-2022,27.6
13-03-2022,28.4
14-03-2022,27.8
15-03-2022,26.3
16-03-2022,26.8
17-03-2022,26.7
18-03-2022,27.5
19-03-2022,29
20-03-2022,26.7
21-03-2022,29
22-03-2022,28
23-03-2022,27.8
24-03-2022,28.7
25-03-2022,28.7
26-03-2022,27.6
27-03-2022,27.8
28-03-2022,27.6
29-03-2022,28.5
30-03-2022,28.4
31-03-2022,26.1
01-04-2022,27.7
02-04-2022,27.8
03-04-2022,26
04-04-2022,27.9
05-04-2022,26.3
06-04-2022,26.9
07-04-2022,25.6
08-04-2022,27.3
09-04-2022,25.3
10-04-2022,25.7
11-04-2022,25.9
12-04-2022,26.7
13-04-2022,26.9
14-04-2022,28.5
15-04-2022,26.8
16-04-2022,28.3
17-04-2022,27.8
18-04-2022,27.7
19-04-2022,26.4
20-04-2022,27.2
21-04-2022,27.1
22-04-2022,28.4
23-04-2022,28.5
24-04-2022,28.5
25-04-2022,28.3
26-04-2022,27.7
27-04-2022,25.8
28-04-2022,27.4
29-04-2022,28.2
30-04-2022,28.4
01-05-2022,28.2
02-05-2022,27.3
03-05-2022,27.4
04-05-2022,27.2
05-05-2022,28.6
06-05-2022,28.6
07-05-2022,28.3
08-05-2022,27.9
09-05-2022,29.1
10-05-2022,29
11-05-2022,26.4
12-05-2022,29.2
13-05-2022,28.9
14-05-2022,28
15-05-2022,28.2
16-05-2022,27.2
17-05-2022,28.5
18-05-2022,29.3
19-05-2022,26.9
20-05-2022,28.2
21-05-2022,28.4
22-05-2022,28.6
23-05-2022,29.2
24-05-2022,29.4
25-05-2022,27.4
26-05-2022,27.8
27-05-2022,28.3
28-05-2022,28.2
29-05-2022,28.6
30-05-2022,29.4
31-05-2022,27.8
01-06-2022,26.8
02-06-2022,25.6
03-06-2022,27.1
04-06-2022,27.4
05-06-2022,26.6
06-06-2022,26.7
07-06-2022,26.2
08-06-2022,27.2
09-06-2022,26.3
10-06-2022,27.9
11-06-2022,27.7
12-06-2022,26.5
13-06-2022,26.9
14-06-2022,27.3
15-06-2022,27.5
16-06-2022,25.9
17-06-2022,27.1
18-06-2022,26.4
19-06-2022,26.8
20-06-2022,25.1
21-06-2022,24.9
22-06-2022,26.4
23-06-2022,26
24-06-2022,26.8
25-06-2022,25.8
26-06-2022,27.9
27-06-2022,27.6
28-06-2022,26.1
29-06-2022,27.6
30-06-2022,26.1
01-07-2022,27.3
02-07-2022,28.2
03-07-2022,28.2
04-07-2022,28.7
05-07-2022,26.9
06-07-2022,27.9
07-07-2022,28.7
08-07-2022,26.8
09-07-2022,28
10-07-2022,26.9
11-07-2022,27.9
12-07-2022,28
13-07-2022,28
14-07-2022,28
15-07-2022,28.2
16-07-2022,28.9
17-07-2022,28.9
18-07-2022,28.9
19-07-2022,29.2
20-07-2022,27.2
21-07-2022,27.9
22-07-2022,26.9
23-07-2022,27.2
24-07-2022,26.1
25-07-2022,26.8
26-07-2022,26.1
27-07-2022,28.6
28-07-2022,28.4
29-07-2022,27.9
30-07-2022,27.7
31-07-2022,28.6
01-08-2022,26.8
02-08-2022,25.2
03-08-2022,27.2
04-08-2022,25.1
05-08-2022,26.5
06-08-2022,28.2
07-08-2022,28.5
08-08-2022,28.3
09-08-2022,28.3
10-08-2022,28.4
11-08-2022,29.3
12-08-2022,26.6
13-08-2022,26.1
14-08-2022,27.4
15-08-2022,28.3
16-08-2022,26.1
17-08-2022,28.5
18-08-2022,28.9
19-08-2022,28.1
20-08-2022,28
21-08-2022,26.6
22-08-2022,27.8
23-08-2022,26.9
24-08-2022,26.9
25-08-2022,27.6
26-08-2022,26.3
27-08-2022,25.9
28-08-2022,27.2
29-08-2022,27
30-08-2022,25.4
31-08-2022,26.9
01-09-2022,27
02-09-2022,26.5
03-09-2022,27.4
04-09-2022,27.8
05-09-2022,25.8
06-09-2022,26
07-09-2022,24.7
08-09-2022,27.4
09-09-2022,25.2
10-09-2022,28
11-09-2022,27.4
12-09-2022,26.8
13-09-2022,24.8
14-09-2022,25
15-09-2022,27.5
16-09-2022,27.7
17-09-2022,28
18-09-2022,25
19-09-2022,27
20-09-2022,26.6
21-09-2022,27.8
22-09-2022,25.1
23-09-2022,27.9
24-09-2022,27.8
25-09-2022,27.5
26-09-2022,27.4
27-09-2022,26.1
28-09-2022,27.6
29-09-2022,27.6
30-09-2022,28.2
01-10-2022,26.3
02-10-2022,25.9
03-10-2022,25.9
04-10-2022,25.9
05-10-2022,26.2
06-10-2022,25.9
07-10-2022,24.7
08-10-2022,26.4
09-10-2022,27.5
10-10-2022,26.2
11-10-2022,27.1
12-10-2022,26.3
13-10-2022,27.4
14-10-2022,27.3
15-10-2022,28
16-10-2022,26.9
17-10-2022,26.8
18-10-2022,27.9
19-10-2022,27.6
20-10-2022,28
21-10-2022,25.9
22-10-2022,26.6
23-10-2022,26.8
24-10-2022,26.6
25-10-2022,27
26-10-2022,26.1
27-10-2022,27.8
28-10-2022,27.9
29-10-2022,27.8
30-10-2022,26.9
31-10-2022,27.7
01-11-2022,25.4
02-11-2022,27.6
03-11-2022,26.3
04-11-2022,28.3
05-11-2022,24.8
06-11-2022,24.9
07-11-2022,26.7
08-11-2022,24.9
09-11-2022,24.8
10-11-2022,25.6
11-11-2022,26.8
12-11-2022,25.6
13-11-2022,25.1
14-11-2022,26.6
15-11-2022,27.2
16-11-2022,27.4
17-11-2022,27
18-11-2022,27.8
19-11-2022,26
20-11-2022,27.5
21-11-2022,27.9
22-11-2022,28.3
23-11-2022,26
24-11-2022,27.6
25-11-2022,26.4
26-11-2022,26.9
27-11-2022,24.2
28-11-2022,26.5
29-11-2022,25.7
30-11-2022,26.6
01-12-2022,26.2
02-12-2022,26.5
03-12-2022,26.7
04-12-2022,25.2
05-12-2022,24.8
06-12-2022,25.9
07-12-2022,27.3
08-12-2022,25.6
09-12-2022,25.9
10-12-2022,26.3
11-12-2022,24.6
12-12-2022,25.6
13-12-2022,25.4
14-12-2022,24.8
15-12-2022,24.8
16-12-2022,27
17-12-2022,26.1
18-12-2022,26.6
19-12-2022,25.6
20-12-2022,26.5
21-12-2022,27
22-12-2022,26.1
23-12-2022,25.7
24-12-2022,26.5
25-12-2022,27.4
26-12-2022,27
27-12-2022,26.7
28-12-2022,26.5
29-12-2022,26.2
30-12-2022,26.7
31-12-2022,27.3
01-01-2023,26.7
02-01-2023,27.2
03-01-2023,27
04-01-2023,25.3
05-01-2023,26.9
06-01-2023,27.6
07-01-2023,27.4
08-01-2023,27.9
09-01-2023,27.1
10-01-2023,26.8
11-01-2023,27
12-01-2023,26.9
13-01-2023,26.1
14-01-2023,26.2
15-01-2023,27
16-01-2023,26.8
17-01-2023,27.3
18-01-2023,26.7
19-01-2023,25.4
20-01-2023,25.9
21-01-2023,26.6
22-01-2023,26.6
23-01-2023,24.4
24-01-2023,24.1
25-01-2023,24.4
26-01-2023,24.9
27-01-2023,26.8
28-01-2023,26
29-01-2023,24.6
30-01-2023,26.3
31-01-2023,27
01-02-2023,26.4
02-02-2023,27
03-02-2023,26.8
04-02-2023,24.4
05-02-2023,26.7
06-02-2023,27.1
07-02-2023,26.8
08-02-2023,27.3
09-02-2023,26.9
10-02-2023,27.1
11-02-2023,27.4
12-02-2023,25.2
13-02-2023,27
14-02-2023,27.1
15-02-2023,24
16-02-2023,25.7
17-02-2023,26.8
18-02-2023,27.3
19-02-2023,27.7
20-02-2023,27.2
21-02-2023,27.6
22-02-2023,27.6
23-02-2023,27.5
24-02-2023,27.6
25-02-2023,27.2
26-02-2023,27
27-02-2023,26.9
28-02-2023,26
01-03-2023,24
02-03-2023,24.9
03-03-2023,23.7
04-03-2023,24.1
05-03-2023,25.4
06-03-2023,25.4
07-03-2023,26.1
08-03-2023,26.9
09-03-2023,27.4
10-03-2023,25.8
11-03-2023,26.7
12-03-2023,26.9
13-03-2023,26.5
14-03-2023,26.3
15-03-2023,26.6
16-03-2023,27.4
17-03-2023,26.7
18-03-2023,27.6
19-03-2023,26.9
20-03-2023,27.1
21-03-2023,26
22-03-2023,26.5
23-03-2023,27.7
24-03-2023,27.4
25-03-2023,25.6
26-03-2023,27.6
27-03-2023,25
28-03-2023,28.5
29-03-2023,26.1
30-03-2023,27.7
31-03-2023,27.5
01-04-2023,27.2
02-04-2023,27.9
03-04-2023,25
04-04-2023,28.3
05-04-2023,26.8
06-04-2023,27.5
07-04-2023,25.4
08-04-2023,26.9
09-04-2023,27.9
10-04-2023,27.3
11-04-2023,27.7
12-04-2023,28.6
13-04-2023,27.5
14-04-2023,28.4
15-04-2023,28.5
16-04-2023,27.7
17-04-2023,28.1
18-04-2023,28.8
19-04-2023,28
20-04-2023,27.4
21-04-2023,26.3
22-04-2023,27.9
23-04-2023,28.9
24-04-2023,27.5
25-04-2023,27.3
26-04-2023,28.1
27-04-2023,27.6
28-04-2023,26.9
29-04-2023,27.5
30-04-2023,27.3
01-05-2023,28.8
02-05-2023,29.3
03-05-2023,27.7
04-05-2023,27.3
05-05-2023,28.3
06-05-2023,28.6
07-05-2023,27.7
08-05-2023,28.2
09-05-2023,28.9
10-05-2023,29.4
11-05-2023,29.3
12-05-2023,29
13-05-2023,28.1
14-05-2023,27.8
15-05-2023,27.9
16-05-2023,26
17-05-2023,27.8
18-05-2023,29
19-05-2023,28.1
20-05-2023,28.6
21-05-2023,27
22-05-2023,27.9
23-05-2023,26.3
24-05-2023,28.6
25-05-2023,29
26-05-2023,28
27-05-2023,27.7
28-05-2023,27.2
29-05-2023,27.9
30-05-2023,27.8
31-05-2023,28.9
01-06-2023,25.5
02-06-2023,28.7
03-06-2023,28.6
04-06-2023,27.3
05-06-2023,28.1
06-06-2023,27
07-06-2023,27.7
08-06-2023,28.3
09-06-2023,28.6
10-06-2023,28.6
11-06-2023,28.8
12-06-2023,27.6
13-06-2023,28.2
14-06-2023,26.2
15-06-2023,27.1
16-06-2023,28.4
17-06-2023,29.5
18-06-2023,27.1
19-06-2023,27.7
20-06-2023,28.1
21-06-2023,28.1
22-06-2023,28.6
23-06-2023,28.5
24-06-2023,27.8
25-06-2023,27.5
26-06-2023,27
27-06-2023,26.5
28-06-2023,26.4
29-06-2023,27.9
30-06-2023,26.2
01-07-2023,26
02-07-2023,28.1
03-07-2023,26.7
04-07-2023,27.9
05-07-2023,27.8
06-07-2023,25.1
07-07-2023,27.8
08-07-2023,28.4
09-07-2023,27
10-07-2023,27
11-07-2023,28
12-07-2023,27.5
13-07-2023,28.1
14-07-2023,24.9
15-07-2023,27.4
16-07-2023,28.4
17-07-2023,27.9
18-07-2023,26.7
19-07-2023,27.5
20-07-2023,26.7
21-07-2023,27.8
22-07-2023,28.7
23-07-2023,27.7
24-07-2023,27.8
25-07-2023,28.5
26-07-2023,29.2
27-07-2023,28.9
28-07-2023,29.1
29-07-2023,28.7
30-07-2023,28.6
31-07-2023,28.2
01-08-2023,28.6
02-08-2023,28.7
03-08-2023,26
04-08-2023,27.9
05-08-2023,27.9
06-08-2023,28.5
07-08-2023,28.2
08-08-2023,27.7
09-08-2023,28.1
10-08-2023,28.2
11-08-2023,28.3
12-08-2023,28.5
13-08-2023,28.5
14-08-2023,28.1
15-08-2023,27.5
16-08-2023,27.3
17-08-2023,26.4
18-08-2023,25.3
19-08-2023,25.7
20-08-2023,27.2
21-08-2023,26.7
22-08-2023,27.7
23-08-2023,28.3
24-08-2023,27.6
25-08-2023,27.3
